F1271;  V VC IFW        ;  mA  
F1547;  E C0 UAMOS H    ;  V   
F1548;  E C0 UAMOS L    ;  V   
F1551;  E C0 UFLSH H    ;  V   
F1552;  E C0 UFLSH L    ;  V   
F1565;  E C0 UDGND      ;  V   
F1576;  E C0 TEMPQB1    ;  degC
F1647;  E C1 UAMOS H    ;  V   
F1648;  E C1 UAMOS L    ;  V   
F1651;  E C1 UFLSH H    ;  V   
F1652;  E C1 UFLSH L    ;  V   
F1665;  E C1 UDGND      ;  V   
F1676;  E C1 TEMPQB1    ;  degC
F1678;  E C1 I-35       ;  mA  
F1747;  E C2 UAMOS H    ;  V   
F1748;  E C2 UAMOS L    ;  V   
F1751;  E C2 UFLSH H    ;  V   
F1752;  E C2 UFLSH L    ;  V   
F1765;  E C2 UDGND      ;  V   
F1776;  E C2 TEMPQB1    ;  degC
F1847;  E C3 UAMOS H    ;  V   
F1848;  E C3 UAMOS L    ;  V   
F1851;  E C3 UFLSH H    ;  V   
F1852;  E C3 UFLSH L    ;  V   
F1865;  E C3 UDGND      ;  V   
F1876;  E C3 TEMPQB1    ;  degC
F1911;  H SUPPLIED POWER;      
T4004;  TEMP EPCH P RAD ;  DegC
T4005;  TEMP EPCH CCD   ;  DegC
P2004;  HLCL EPCCD A CUR;  Amp 
P2005;  LCL EPICPN A CUR;  Amp 
P2024;  HLCL EPCCD B CUR;  Amp 
FD103;  DSLINC AVG      ;      
EDS001; EVT AVG 2,0-7,0 ;      
KDS001; EVT AVG 2,0-7,0 ;      
MD016; COUNTING LE0    ;  CPS 
MD019; COUNTING HE0    ;  CPS 
LDS005; R2 OVR UPPD9 AVG;      
R2SUD9; R2SS OVR UPPD 9 ;  NUM 
TIME; TIME; days











